"","orig","new"
"1","ELM-MOR-95B","U americana 2x VA"
"2","ELM-MOR-100B","U americana 2x TN"
"3","ELM-MOR-106B","U americana 4x TX2"
"4","ULMAME-2","U americana 4x unk"
"5","ELM-MOR-105A","U americana 4x TX1"
"6","ELM-MOR-101B","U americana 4x VA"
"7","ELM-MOR-103A","U americana 4x WV"
"8","ELM-MOR-104A","U americana 4x MS"
"9","ULMLAE-2","U laevis"
"10","ELM-MOR-79B","U mexicana"
"11","ELM-MOR-112","U elongata"
"12","ULMCRA-2","U crassifolia OK"
"13","ULMCRA-1","U crassifolia TX"
"14","ULMSER-1","U serotina"
"15","ULMALA-1","U alata"
"16","ELM-MOR-77A","U thomasii OH"
"17","ELM-MOR-76A","U thomasii NE"
"18","ULMTHO-1","U thomasii WI"
"19","ELM-MOR-87A","U villosa"
"20","ULMSUK-2","U glabra (U sukaczevii) 2"
"21","ULMSUK-1","U glabra (U sukaczevii) 1"
"22","ULMELL-2","U glabra (U elliptica) Geo"
"23","ULMGLAB-1","U glabra"
"24","ULMELL-1","U glabra (U elliptica) unk"
"25","ELM-MOR-107B","U wallichiana 1"
"26","ULMWAL-1","U wallichiana 2"
"27","ULMWAL-2","U wallichiana 3"
"28","ELM-MOR-115","U laciniata China"
"29","ULMLACvarNIK","U laciniata Japan"
"30","ELM-MOR-108B","U uyematsui"
"31","ELM-MOR-91B","U rubra WV"
"32","ELM-MOR-93B","U rubra MD2"
"33","ELM-MOR-92B","U rubra OK"
"34","ELM-MOR-94B","U rubra MD1"
"35","ELM-MOR-90B","U rubra VA"
"36","ULMMAC-2","U macrocarpa"
"37","ELM-MOR-74A","U lamellosa Heilongjiang"
"38","ULMMACvarDOR-1","U lamellosa unk 1"
"39","ULMLAM-1","U lamellosa Beijing"
"40","ULMMAC-1","U lamellosa unk 2"
"41","ULMGLAUvLAS-1","U lamellosa unk 3"
"42","ULMPARvarCOR-1","U parvifolia Korea"
"43","ULMPAR-2","U parvifolia unk 1"
"44","ULMPAR-1","U parvifolia unk 2"
"45","ULMFOL-1","U minor 1"
"46","ULMFOL-1.5","U minor 2"
"47","ULMGLAB-2","U minor 3"
"48","ULMPROC-2","U minor (procera) 1"
"49","ULMPROC-1","U minor (procera) 2"
"50","ULMCAN-1","U minor ssp canescens 2"
"51","ELM-MOR-78A","U minor (goodyeri)"
"52","ELM-MOR-83B","U minor (angustifolia)"
"53","ELM-MOR-84B","U minor (sarniensis)"
"54","ELM-MOR-88A","U minor 5"
"55","ELM-MOR-86B","U minor 4"
"56","ELM-MOR-85B","U minor (plotii)"
"57","ULMGAU-2","U castaneifolia 1"
"58","ULMGAU-1","U castaneifolia 2"
"59","ULMCHE-2","U davidiana var japonica 4"
"60","ULMWIL-3","U davidiana var japonica 3"
"61","ULMWIL-2","U davidiana var japonica 2"
"62","ULMSZE-2","U szechuanica 2"
"63","ULMSZE-1","U szechuanica 1"
"64","ELM-MOR-113","U changii"
"65","ULMBERvLAS-1","U castaneifolia 3"
"66","ULMBER-2","U castaneifolia 5"
"67","ULMBER-1","U castaneifolia 6"
"68","ULMCAS-1","U castaneifolia 4"
"69","ULMPRU-1","U prunifolia"
"70","ULMCARxJAP-1","U davidiana var japonica 9"
"71","ULMJAP-1","U davidiana var japonica 7"
"72","ULMJAP-2","U davidiana var japonica 8"
"73","ULMDAVvMAN-1","U davidiana var davidiana 4"
"74","ULMDAVvMAN-2","U davidiana var davidiana 3"
"75","ULMJAPxWIL-1","U davidiana var japonica 11"
"76","ULMMOR-4","U davidiana var japonica 12"
"77","ULMMOR-2","U davidiana var japonica 13"
"78","ELM-MOR-72B","U microcarpa 1"
"79","ULMMIC-1","U microcarpa 2"
"80","ULMPROPvSUB-1","U davidiana var davidiana 1"
"81","ULMCHE-1","U chenmoui"
"82","ULMGLAU-1","U castaneifolia 7"
"83","ULMMUL-1","U castaneifolia 8"
"84","ULMPROP-1","U davidiana var japonica 5"
"85","ULMPROP-2","U davidiana var japonica 6"
"86","ULMPROPvSUB-2","U davidiana var davidiana 2"
"87","ELM-MOR-73B","U pumila unk 3"
"88","ELM-MOR-75A","U pumila unk 4"
"89","ELM-MOR-89B","U pumila OK"
"90","ULMPUM-1","U pumila unk 2"
"91","HEMDAV-1","Hemiptelea davidii"
"92","ZELSER-1","Zelkova serrata"
"93","ELM-MOR-97B","U americana 2x TX"
"94","ELM-MOR-98B","U americana 2x KS"
"95","ELM-MOR-99B","U americana 2x AR"
"96","ELM-MOR-96B","U americana 2x AL"
